"region","markanvändningsklass","X2015"
"Eksjö","skogsmark, produktiv",52337
"Eksjö","skogsmark, improduktiv",6372
"Eksjö","total skogsmark",58709
"Eksjö","bebyggd mark och tillhörande mark",3663
"Eksjö","täkter och gruvområden",110
"Eksjö","golfbanor och skidpistar",69
"Eksjö","vatten",7390
"Eksjö","övrig mark",7316
"Eksjö","total landareal",79940
"Tranås","åkermark",4928
"Tranås","betesmark",3034
"Tranås","skogsmark, produktiv",24291
"Tranås","skogsmark, improduktiv",2958
"Tranås","total skogsmark",27248
"Tranås","bebyggd mark och tillhörande mark",2124
"Tranås","täkter och gruvområden",72
"Tranås","golfbanor och skidpistar",50
"Tranås","vatten",3514
"Tranås","övrig mark",2804
"Tranås","total landareal",40260
"Uppvidinge","åkermark",2400
