"region","hushållsstorlek","X2019"
"Bjuv","5 personer",1550
"Bjuv","6 personer",786
"Bjuv","7+ personer",904
"Bjuv","uppgift saknas",31
"Kävlinge","1 person",3654
"Kävlinge","2 personer",7998
"Kävlinge","3 personer",5385
"Kävlinge","4 personer",9680
"Kävlinge","5 personer",3395
"Kävlinge","6 personer",984
"Kävlinge","7+ personer",595
"Kävlinge","uppgift saknas",14
"Lomma","1 person",2621
"Lomma","2 personer",6040
"Lomma","3 personer",3621
"Lomma","4 personer",8244
"Lomma","5 personer",3250
"Lomma","6 personer",600
"Lomma","7+ personer",443
"Lomma","uppgift saknas",15
"Svedala","1 person",2509
"Svedala","2 personer",5470
"Svedala","3 personer",3867
"Svedala","4 personer",6764
"Svedala","5 personer",2385
"Svedala","6 personer",684
"Svedala","7+ personer",535
"Svedala","uppgift saknas",15
"Skurup","1 person",2333
"Skurup","2 personer",4492
"Skurup","3 personer",2739
"Skurup","4 personer",3712
"Skurup","5 personer",1555
"Skurup","6 personer",582
"Skurup","7+ personer",457
"Skurup","uppgift saknas",19
"Sjöbo","1 person",3338
"Sjöbo","2 personer",6094
"Sjöbo","3 personer",3000
"Sjöbo","4 personer",4000
"Sjöbo","5 personer",1825
"Sjöbo","6 personer",492
"Sjöbo","7+ personer",455
"Sjöbo","uppgift saknas",22
"Hörby","1 person",2743
"Hörby","2 personer",4564
"Hörby","3 personer",2445
"Hörby","4 personer",3316
"Hörby","5 personer",1585
"Hörby","6 personer",534
"Hörby","7+ personer",426
"Hörby","uppgift saknas",18
"Höör","1 person",2404
"Höör","2 personer",4772
"Höör","3 personer",2757
"Höör","4 personer",3996
"Höör","5 personer",1735
"Höör","6 personer",504
"Höör","7+ personer",520
"Höör","uppgift saknas",25
"Tomelilla","1 person",2445
"Tomelilla","2 personer",4150
"Tomelilla","3 personer",2067
"Tomelilla","4 personer",2640
"Tomelilla","5 personer",1240
"Tomelilla","6 personer",522
"Tomelilla","7+ personer",538
