"Kommun","Huvudman","Kön","Behörighet","Antal"
"Hultsfred","Kommunal","Samtliga","Gymnasiebehöriga",37
"Hultsfred","Kommunal","Samtliga","Gymnasieobehöriga",76
"Hultsfred","Enskild","Samtliga","Gymnasiebehöriga",0
"Hultsfred","Enskild","Samtliga","Gymnasieobehöriga",35
"Hylte","Samtliga","Samtliga","Gymnasiebehöriga",38
"Hylte","Samtliga","Samtliga","Gymnasieobehöriga",91
"Hylte","Kommunal","Samtliga","Gymnasiebehöriga",38
"Hylte","Kommunal","Samtliga","Gymnasieobehöriga",87
"Hylte","Enskild","Samtliga","Gymnasiebehöriga",NA
"Hylte","Enskild","Samtliga","Gymnasieobehöriga",NA
"Håbo","Samtliga","Samtliga","Gymnasiebehöriga",51
"Håbo","Samtliga","Samtliga","Gymnasieobehöriga",259
"Håbo","Kommunal","Samtliga","Gymnasiebehöriga",49
"Håbo","Kommunal","Samtliga","Gymnasieobehöriga",186
"Håbo","Enskild","Samtliga","Gymnasiebehöriga",0
"Håbo","Enskild","Samtliga","Gymnasieobehöriga",75
"Hällefors","Samtliga","Samtliga","Gymnasiebehöriga",0
"Hällefors","Samtliga","Samtliga","Gymnasieobehöriga",62
"Hällefors","Kommunal","Samtliga","Gymnasiebehöriga",0
"Hällefors","Kommunal","Samtliga","Gymnasieobehöriga",62
"Härjedalen","Samtliga","Samtliga","Gymnasiebehöriga",16
"Härjedalen","Samtliga","Samtliga","Gymnasieobehöriga",95
"Härjedalen","Kommunal","Samtliga","Gymnasiebehöriga",16
"Härjedalen","Kommunal","Samtliga","Gymnasieobehöriga",95
"Härnösand","Samtliga","Samtliga","Gymnasiebehöriga",62
"Härnösand","Samtliga","Samtliga","Gymnasieobehöriga",236
"Härnösand","Kommunal","Samtliga","Gymnasiebehöriga",58
"Härnösand","Kommunal","Samtliga","Gymnasieobehöriga",205
"Härnösand","Enskild","Samtliga","Gymnasiebehöriga",0
"Härnösand","Enskild","Samtliga","Gymnasieobehöriga",35
"Härryda","Samtliga","Samtliga","Gymnasiebehöriga",44
"Härryda","Samtliga","Samtliga","Gymnasieobehöriga",451
"Härryda","Kommunal","Samtliga","Gymnasiebehöriga",40
"Härryda","Kommunal","Samtliga","Gymnasieobehöriga",382
"Härryda","Enskild","Samtliga","Gymnasiebehöriga",0
"Härryda","Enskild","Samtliga","Gymnasieobehöriga",73
"Hässleholm","Samtliga","Samtliga","Gymnasiebehöriga",137
"Hässleholm","Samtliga","Samtliga","Gymnasieobehöriga",506
"Hässleholm","Kommunal","Samtliga","Gymnasiebehöriga",128
"Hässleholm","Kommunal","Samtliga","Gymnasieobehöriga",437
"Hässleholm","Enskild","Samtliga","Gymnasiebehöriga",0
"Hässleholm","Enskild","Samtliga","Gymnasieobehöriga",78
"Höganäs","Samtliga","Samtliga","Gymnasiebehöriga",28
"Höganäs","Samtliga","Samtliga","Gymnasieobehöriga",294
"Höganäs","Kommunal","Samtliga","Gymnasiebehöriga",25
"Höganäs","Kommunal","Samtliga","Gymnasieobehöriga",272
"Höganäs","Enskild","Samtliga","Gymnasiebehöriga",0
"Höganäs","Enskild","Samtliga","Gymnasieobehöriga",25
"Högsby","Samtliga","Samtliga","Gymnasiebehöriga",15
"Högsby","Samtliga","Samtliga","Gymnasieobehöriga",51
"Högsby","Kommunal","Samtliga","Gymnasiebehöriga",15
"Högsby","Kommunal","Samtliga","Gymnasieobehöriga",51
"Hörby","Samtliga","Samtliga","Gymnasiebehöriga",29
"Hörby","Samtliga","Samtliga","Gymnasieobehöriga",149
"Hörby","Kommunal","Samtliga","Gymnasiebehöriga",29
"Hörby","Kommunal","Samtliga","Gymnasieobehöriga",128
"Hörby","Enskild","Samtliga","Gymnasiebehöriga",NA
"Hörby","Enskild","Samtliga","Gymnasieobehöriga",NA
"Höör","Samtliga","Samtliga","Gymnasiebehöriga",55
"Höör","Samtliga","Samtliga","Gymnasieobehöriga",148
"Höör","Kommunal","Samtliga","Gymnasiebehöriga",50
"Höör","Kommunal","Samtliga","Gymnasieobehöriga",135
"Höör","Enskild","Samtliga","Gymnasiebehöriga",0
